Company Name,High,Low,Last Price,Prev Close,Change,Gain%,Volume5,Volume10,Volume30,Volume,Lower Circuit,Upper Circuit,VWAP,P/E,P/B
Sudarshan Chem,710.40,592.00,707.15,592.00,115.15,19.45,2457599.20,266322.40,661124.63,10224550,473.60,710.40,673.82,36.32,6.36
Raj Oil,81.15,75.00,79.75,67.65,12.10,17.89,107943.80,29572.60,27644.03,477216,54.15,81.15,80.08,11.2,-0.98
Karnataka Bank,62.55,51.85,60.85,52.15,8.70,16.68,4011452.00,233317.80,1977969.03,14865257,41.75,62.55,58.56,4.82,0.31
Securekloud Tec,136.30,113.60,132.25,113.60,18.65,16.42,455258.00,66796.40,231404.43,1013340,90.90,136.30,128.67,-,4.3
Thirumalai Chem,205.30,176.50,202.15,176.15,26.00,14.76,1652290.40,137917.20,1928726.60,3943972,140.95,211.35,196.16,12.52,2.86
Gayatri Project,50.15,42.40,48.70,42.55,6.15,14.45,5027887.40,637251.90,4286861.10,12887847,34.05,51.05,47.19,9.9,0.91
Guj Mineral,71.15,62.70,70.60,62.85,7.75,12.33,2310991.20,95347.70,1432754.83,9038892,50.30,75.40,68.72,-,0.56
Shanthi Gears,193.70,168.30,188.50,170.75,17.75,10.40,304150.60,75865.50,519035.47,602239,136.60,204.90,183.14,44.77,6.1
Hisar Metal,144.40,121.50,134.35,122.00,12.35,10.12,96677.00,10897.40,114082.17,372830,97.60,146.40,137.60,9.22,2.24
Only Buyers,134.85,121.20,134.85,122.60,12.25,9.99,76579.20,11878.40,74507.83,126648,110.35,134.85,131.03,-,0.97
Only Buyers,420.55,385.00,420.55,382.35,38.20,9.99,6574819.00,669818.30,5177712.23,14080063,344.15,420.55,406.80,54.76,10.66
Only Buyers,35.85,33.50,35.85,32.60,3.25,9.97,105493.00,24577.00,196861.67,272916,29.35,35.85,35.47,-,1.18
Prince Pipes,678.80,602.45,663.55,603.50,60.05,9.95,601103.40,39849.70,444617.00,1891273,482.80,724.20,653.04,31.98,7.01
Jain Irrigation,32.05,29.20,31.95,29.15,2.80,9.61,4135276.20,720885.30,3645850.50,5909706,26.25,32.05,31.17,-,0.41
Beta Drugs,351.00,350.00,350.50,320.00,30.50,9.53,4160.00,,5840.00,1600,288.00,352.00,350.50,0,5.31
Soma Textile,7.60,7.50,7.60,6.95,0.65,9.35,31409.40,16202.10,32071.27,46073,6.30,7.60,7.59,-,-0.36
V-Marc closes,33.40,32.50,33.40,30.55,2.85,9.33,15000.00,,47600.00,9000,24.45,36.65,32.83,0,1.59
Walchandnagar closes,71.00,62.65,68.15,62.50,5.65,9.04,197999.60,70847.20,158756.73,624485,50.00,75.00,67.53,-,1.23
RPSG VENTURES,701.00,632.55,693.30,638.70,54.60,8.55,363229.60,15015.20,203810.90,224174,511.00,766.40,684.18,13.47,1.01
Univastu India,51.70,47.00,51.00,47.00,4.00,8.51,21512.60,,15938.83,60955,42.30,51.70,50.84,6.11,1.76
Privi Special,"1,860.00","1,599.80","1,731.35","1,597.25",134.10,8.40,40954.80,9263.80,122121.57,79089,"1,277.80","1,916.70",1694.71,53.92,9.47
Aakash Explorat,268.00,241.00,265.00,244.60,20.40,8.34,72782.40,,128403.53,157959,220.15,269.05,260.27,65.11,6.47
Banco Products,217.00,193.20,212.55,196.95,15.60,7.92,1114446.00,144023.30,653984.37,2347609,157.60,236.30,207.91,16.27,2.47
Arman Financial,737.00,662.05,724.40,671.45,52.95,7.89,12531.80,1179.80,18094.70,41090,537.20,805.70,718.06,90.1,4.81
NALCO closes,85.40,80.05,85.00,78.80,6.20,7.87,49559912.00,2825374.40,43509857.27,88592398,70.95,86.65,83.63,9.57,1.46
Bombay Dyeing,91.90,83.60,91.00,84.40,6.60,7.82,3695852.60,671062.70,7853294.07,8038983,67.55,101.25,89.04,-,-9.57
Menon Bearings,82.45,71.00,77.20,71.65,5.55,7.75,150806.00,15796.60,141764.97,588836,57.35,85.95,79.28,18.6,4.38
Only Buyers,2.10,2.00,2.10,1.95,0.15,7.69,463749.60,165942.90,338295.70,714406,1.80,2.10,2.07,-,0.46
Diamond Power,0.70,0.65,0.70,0.65,0.05,7.69,254190.20,62251.60,251283.37,728619,0.60,0.70,0.69,-,0.03
Bodhi Tree,75.00,70.00,70.00,65.00,5.00,7.69,4080.00,,2600.00,4800,52.00,78.00,72.25,0,9.76
Welspun Enter,103.00,91.00,100.65,93.55,7.10,7.59,170940.40,24419.70,256437.73,272014,74.85,112.25,98.62,13.11,0.82
DCW closes,37.35,33.90,36.90,34.30,2.60,7.58,1137285.60,205092.40,1838069.93,2389108,27.45,41.15,36.02,35.48,1.4
Alkyl Amines,"4,258.95","3,965.00","4,236.10","3,954.60",281.50,7.12,137644.40,8904.50,145851.17,291797,"3,163.70","4,745.50",4181.17,67.37,27.39
Asian Hotel,187.90,171.40,184.70,172.75,11.95,6.92,4377.40,5484.00,22626.50,12606,138.20,207.30,180.23,-,0.25
AAA closes,47.00,46.00,47.00,44.00,3.00,6.82,61200.00,,26400.00,192000,35.20,52.80,46.73,0,1.8
Sirca Paints,352.00,323.45,346.45,324.45,22.00,6.78,51039.60,,76396.10,142969,259.60,389.30,344.79,48.66,4.71
ABB India,"1,865.00","1,735.00","1,850.05","1,736.35",113.70,6.55,174625.40,9496.90,118253.90,540087,"1,389.10","2,083.60",1814.79,112.06,10.87
Navin Fluorine,"3,887.90","3,551.00","3,830.05","3,602.10",227.95,6.33,217093.40,11185.10,295412.93,588389,"3,241.90","3,962.30",3749.75,62.37,11.49
SKF India,"3,050.00","2,833.80","2,977.05","2,799.95",177.10,6.33,166944.00,2710.80,65839.63,552597,"2,240.00","3,359.90",2990.83,39.03,9.41
Salasar Techno,306.50,273.25,301.45,283.85,17.60,6.20,147401.60,9278.60,127470.47,250219,227.10,340.60,295.76,23.26,4.15
Kiri Industries,516.00,478.00,508.50,478.80,29.70,6.20,196307.20,20232.40,364901.20,376837,383.05,574.55,500.78,-,3.17
Fortis Health,296.90,269.40,294.50,277.55,16.95,6.11,8602964.40,490698.70,5353837.70,13613526,222.05,333.05,286.74,-,2.5
Timken closes,"1,693.35","1,566.40","1,665.90","1,571.60",94.30,6.00,116986.20,7449.40,76135.67,371226,"1,257.30","1,885.90",1650.04,63.68,9.33
Vinyl Chemicals,225.70,202.40,221.45,209.00,12.45,5.96,552635.20,72226.20,519437.07,1241714,167.20,250.80,217.84,24.66,5.96
AKG Exim,25.10,23.00,24.90,23.50,1.40,5.96,3321.60,,7916.03,6641,21.15,25.85,24.32,0,1.42
Sanghi Ind,70.00,64.75,68.80,64.95,3.85,5.93,1106688.20,127781.60,2193817.97,1841182,52.00,77.90,68.43,18.3,0.96
ICICI Lombard,"1,567.80","1,477.80","1,557.70","1,471.15",86.55,5.88,1037709.40,131608.80,738863.03,2896418,"1,324.05","1,618.25",1538.10,57.74,8.73
Kokuyo Camlin,69.80,63.75,68.40,64.60,3.80,5.88,283194.40,18347.90,348963.73,473658,51.70,77.50,67.89,-,2.82
Paisalo Digital,629.00,569.15,605.80,572.40,33.40,5.84,84877.20,4773.50,66125.27,360797,457.95,686.85,607.83,40.88,3
Atul Auto,204.70,192.05,202.55,191.45,11.10,5.80,117123.60,18116.40,250976.50,140760,153.20,229.70,198.26,-,1.52
Kabra Extrusion,269.70,242.10,256.60,242.70,13.90,5.73,772965.40,99071.00,516466.33,875133,194.20,291.20,258.52,29.8,2.94
Dhunseri Ventur,299.70,261.00,283.70,268.60,15.10,5.62,85663.60,15294.60,133114.30,190501,214.90,322.30,284.99,6.35,0.92
Kothari Petro,51.45,48.15,50.95,48.25,2.70,5.60,114902.40,,556126.27,172344,43.45,53.05,50.56,10.51,2.44
India Nippon,364.60,342.45,361.45,342.45,19.00,5.55,18680.00,3703.80,75612.43,28647,274.00,410.90,357.04,16.73,1.82
MphasiS Block,"2,910.00","2,740.25","2,894.80","2,743.25",151.55,5.52,1104195.40,38511.30,953600.60,1188351,"2,468.95","3,017.55",2834.38,44.58,14.76
Orient Bell,349.00,316.10,336.25,319.00,17.25,5.41,15725.40,1561.60,59940.50,35777,255.20,382.80,335.91,37.11,1.96
Marine Electric,43.95,38.15,42.95,40.75,2.20,5.40,1596094.00,,1815082.57,3067409,32.60,48.90,40.87,72.8,3.94
HLE Glascoat,"4,369.00","4,017.70","4,211.75","3,996.35",215.40,5.39,56037.40,3635.70,14795.60,111995,"3,197.10","4,795.60",4153.26,93.97,39.52
Excel closes,"1,140.00","1,060.85","1,123.15","1,066.55",56.60,5.31,38096.20,7108.10,33414.37,59066,853.25,"1,279.85",1111.30,16.94,1.97
Krebs Biochem,150.00,141.00,148.55,141.20,7.35,5.21,88761.60,41756.00,174578.50,84912,113.00,169.40,146.16,-,-22.34
KPIT Tech,338.40,316.10,335.15,318.55,16.60,5.21,1809669.80,287741.10,2129761.40,1925459,254.85,382.25,331.51,63.12,8.72
Par Drugs,108.25,108.00,108.25,103.00,5.25,5.10,8000.00,,23933.33,4000,92.70,113.30,108.12,0,3.28
Max Ventures,98.60,90.65,95.90,91.30,4.60,5.04,321120.80,56386.50,763831.07,468665,73.05,109.55,95.33,564.12,1.62
